               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,             0.02639,           0.0073186,                   0,              0.2799,             0.91667,             0.26388,              0.1418,             0.03396,           0.0047574,                   0,            0.002674,            0.002674,            0.002674
                  39,            0.024149,           0.0075483,                   0,             0.27213,             0.91667,              0.2673,             0.15145,             0.03342,           0.0048317,                   0,            0.002476,            0.002476,            0.002476
                  40,            0.024291,           0.0074542,                   0,             0.27721,             0.91667,             0.26172,             0.15469,            0.033322,           0.0048789,                   0,            0.002278,            0.002278,            0.002278
                  41,            0.023025,            0.007145,                   0,             0.27828,             0.91667,             0.26159,             0.14661,            0.034268,           0.0048676,                   0,             0.00208,             0.00208,             0.00208
                  42,             0.02442,           0.0070719,                   0,             0.28046,             0.91667,             0.26579,             0.15242,            0.033038,           0.0047626,                   0,            0.001882,            0.001882,            0.001882
                  43,            0.023531,           0.0074969,                   0,             0.29014,             0.91667,             0.27292,             0.15475,            0.031905,            0.004999,                   0,            0.001684,            0.001684,            0.001684
                  44,            0.023457,           0.0068649,                   0,             0.28147,             0.91667,              0.2675,             0.16221,            0.031753,           0.0047908,                   0,            0.001486,            0.001486,            0.001486
                  45,            0.022746,           0.0073622,                   0,              0.2753,             0.91667,             0.26234,             0.15278,            0.032049,           0.0048389,                   0,            0.001288,            0.001288,            0.001288
                  46,             0.02256,           0.0067074,                   0,             0.27131,             0.91667,              0.2624,             0.15019,            0.032702,           0.0050286,                   0,             0.00109,             0.00109,             0.00109
                  47,            0.023988,           0.0070465,                   0,             0.27094,             0.91667,             0.26337,              0.1497,            0.032815,           0.0051077,                   0,            0.000892,            0.000892,            0.000892
                  48,            0.022845,           0.0069897,                   0,             0.27178,             0.91667,             0.27053,              0.1569,            0.032291,           0.0051802,                   0,            0.000694,            0.000694,            0.000694
                  49,            0.022357,           0.0067432,                   0,             0.27252,             0.91667,             0.26974,             0.15685,            0.032069,           0.0052643,                   0,            0.000496,            0.000496,            0.000496
